RA,ano_nascimento,idade_atual,genero,faixa_etaria,ano_ingresso,status,instituicao_ensino,fase_2022,fase_2023,fase_2024,pedra_2022,pedra_2023,pedra_2024,inde_2022,inde_2023,inde_2024,inde_media,classificacao_geral_2022,classificacao_geral_2023,classificacao_geral_2024,classificacao_geral_media,autoavaliacao_2022,autoavaliacao_2023,autoavaliacao_2024,autoavaliacao_media,engajamento_2022,engajamento_2023,engajamento_2024,engajamento_media,psicossocial_2022,psicossocial_2023,psicossocial_2024,psicossocial_media,aprendizagem_2022,aprendizagem_2023,aprendizagem_2024,aprendizagem_media,matematica_2022,matematica_2023,matematica_2024,matematica_media,portugues_2022,portugues_2023,portugues_2024,portugues_media,ingles_2022,ingles_2023,ingles_2024,ingles_media,adequacao_nivel_2022,adequacao_nivel_2023,adequacao_nivel_2024,adequacao_nivel_media,fase_ideal_2022,fase_ideal_2023,fase_ideal_2024
RA-286,2007,18,Feminino,18+ anos,2022,Veterano,Escola Pública | Pública,3.0,4.0,5.0,Quartzo,Quartzo,Quartzo,5.424,5.713333333,5.123180882333333,5.420171405111112,794.0,,,794.0,7.1,0.0,6.666,4.588666666666667,5.8,7.5,4.031862745000001,5.777287581666667,6.3,5.0,6.26,5.853333333333334,3.0,4.7,3.1666666666666665,3.6222222222222222,4.7,3.7,5.0,4.466666666666667,2.3,5.0,0.0,2.433333333333333,2.0,5.3,4.5,3.9333333333333336,5.0,5.0,5.0,5.0,Fase 5 (1º EM),Fase 5 (1° EM),Fase 6 (2° EM)
RA-287,2005,20,Feminino,18+ anos,2022,Veterano,Escola Pública | Pública,3.0,4.0,,Quartzo,Quartzo,,3.7,3.745541667,,3.745541667,859.0,,,859.0,7.9,0.0,,0.0,3.4,4.8,,4.8,5.0,2.52,,2.52,1.1,3.9,,3.9,0.7,3.0,,3.0,2.5,2.3,,2.3,0.2,6.5,,6.5,2.5,2.5,,2.5,Fase 7 (3º EM),Fase 8 (Universitários),
RA-288,2006,19,Feminino,18+ anos,2022,Veterano,Escola Pública,3.0,,,Quartzo,,,4.097,,,4.097,854.0,,,854.0,0.0,,,0.0,5.6,,,5.6,6.3,,,6.3,0.0,,,0.0,,,,,,,,,,,,,2.5,,,2.5,Fase 6 (2º EM),,
RA-289,2008,17,Feminino,16-17 anos,2020,Veterano,Escola Pública,3.0,,,Ágata,,,6.236,,,6.236,699.0,,,699.0,0.0,,,0.0,7.8,,,7.8,6.3,,,6.3,6.8,,,6.8,5.3,,,5.3,7.5,,,7.5,7.5,,,7.5,5.0,,,5.0,Fase 4 (9º ano),,
RA-290,2005,20,Feminino,18+ anos,2022,Veterano,Escola Pública,3.0,,,Quartzo,,,4.929,,,4.929,830.0,,,830.0,10.0,,,10.0,3.9,,,3.9,6.3,,,6.3,1.7,,,1.7,1.0,,,1.0,2.3,,,2.3,1.8,,,1.8,2.5,,,2.5,Fase 7 (3º EM),,
RA-291,2009,16,Masculino,16-17 anos,2022,Veterano,Escola Pública | Privada - Programa de Apadrinhamento,3.0,4.0,7.0,Topázio,Topázio,Ametista,8.122,8.493058333,7.9319666667333335,8.182341666577779,107.0,,,107.0,8.3,8.8,8.751,8.616999999999999,8.2,8.6,9.737666667,8.845888889,6.9,7.52,6.26,6.8933333333333335,8.0,7.1,6.166666666666667,7.088888888888889,8.0,8.0,6.0,7.333333333333333,7.5,6.5,6.5,6.833333333333333,8.5,6.7,6.0,7.066666666666666,10.0,10.0,10.0,10.0,Fase 3 (7º e 8º ano),Fase 4 (9° ano),Fase 5 (1° EM)
RA-292,2006,19,Menino,18+ anos,2022,Veterano,Escola Pública,3.0,,,Quartzo,,,4.837,,,4.837,833.0,,,833.0,7.9,,,7.9,3.7,,,3.7,7.5,,,7.5,1.8,,,1.8,0.0,,,0.0,5.0,,,5.0,0.5,,,0.5,2.5,,,2.5,Fase 6 (2º EM),,
RA-293,2009,16,Menino,16-17 anos,2022,Veterano,Escola Pública,3.0,,,Quartzo,,,4.875,,,4.875,831.0,,,831.0,8.8,,,8.8,2.9,,,2.9,7.5,,,7.5,2.3,,,2.3,2.0,,,2.0,3.8,,,3.8,1.0,,,1.0,10.0,,,10.0,Fase 3 (7º e 8º ano),,
RA-294,2004,21,Feminino,18+ anos,2022,Veterano,Escola Pública,3.0,,,Quartzo,,,5.031,,,5.031,819.0,,,819.0,9.6,,,9.6,5.8,,,5.8,7.5,,,7.5,0.0,,,0.0,,,,,,,,,,,,,2.5,,,2.5,Fase 8 (Universitários),,
RA-295,2008,17,Feminino,16-17 anos,2022,Veterano,Escola Pública | Pública,3.0,4.0,,Ametista,Ametista,,7.305,7.641016667,,7.641016667,386.0,,,386.0,7.9,8.8,,8.8,8.0,8.8,,8.8,7.5,2.52,,2.52,6.9,7.7,,7.7,5.3,7.3,,7.3,7.7,7.2,,7.2,7.7,8.7,,8.7,5.0,5.0,,5.0,Fase 4 (9º ano),Fase 5 (1° EM),
